"""Lynsay Anne CUNNINGHAM""","""Cecil HUGHSON""","""Alec George PRIEST""","""Duncan SIMPSON""","""Ryan James Andrew THOMSON"""
0.5,1.0,,,0.3333333333333333
0.5,1.0,0.25,0.2,0.3333333333333333
0.5,1.0,0.25,0.2,0.3333333333333333
0.5,1.0,0.2,0.25,0.3333333333333333
,1.0,0.5,,
,1.0,0.5,,
,1.0,0.5,,
,1.0,0.5,,
,1.0,0.5,,
,1.0,0.5,,
0.3333333333333333,1.0,0.5,,
0.3333333333333333,1.0,0.5,,
0.3333333333333333,1.0,0.5,,
0.3333333333333333,1.0,0.5,,
0.3333333333333333,1.0,0.5,,
0.3333333333333333,1.0,0.5,,
0.3333333333333333,1.0,0.5,,
0.3333333333333333,1.0,0.5,,
0.3333333333333333,1.0,0.5,,
0.3333333333333333,1.0,0.5,,
0.3333333333333333,1.0,0.5,0.25,0.2
0.3333333333333333,1.0,0.5,0.25,0.2
0.3333333333333333,1.0,0.5,0.25,0.2
0.3333333333333333,1.0,0.5,0.25,0.2
0.3333333333333333,1.0,0.5,0.2,0.25
,1.0,0.5,0.3333333333333333,
,1.0,0.5,0.3333333333333333,
,1.0,0.5,0.3333333333333333,
,1.0,0.5,0.3333333333333333,
,1.0,0.5,0.3333333333333333,
,1.0,0.5,0.3333333333333333,
,1.0,0.5,0.3333333333333333,
,1.0,0.5,0.3333333333333333,
0.25,1.0,0.5,0.3333333333333333,0.2
0.25,1.0,0.5,0.3333333333333333,0.2
0.2,1.0,0.5,0.3333333333333333,0.25
0.2,1.0,0.5,0.3333333333333333,0.25
0.2,1.0,0.5,0.3333333333333333,0.25
0.2,1.0,0.5,0.3333333333333333,0.25
,1.0,0.5,,0.3333333333333333
,1.0,0.5,,0.3333333333333333
,1.0,0.5,,0.3333333333333333
,1.0,0.5,,0.3333333333333333
,1.0,0.5,,0.3333333333333333
,1.0,0.5,,0.3333333333333333
,1.0,0.5,,0.3333333333333333
,1.0,0.5,,0.3333333333333333
,1.0,0.5,,0.3333333333333333
,1.0,0.5,,0.3333333333333333
0.25,1.0,0.5,,0.3333333333333333
0.25,1.0,0.5,0.2,0.3333333333333333
,1.0,0.5,0.25,0.3333333333333333
0.2,1.0,0.5,0.25,0.3333333333333333
0.2,1.0,0.5,0.25,0.3333333333333333
0.2,1.0,0.5,0.25,0.3333333333333333
0.2,1.0,0.5,0.25,0.3333333333333333
0.2,1.0,0.5,0.25,0.3333333333333333
0.2,1.0,0.5,0.25,0.3333333333333333
0.2,1.0,0.5,0.25,0.3333333333333333
,1.0,,0.5,
,1.0,,0.5,
,1.0,,0.5,
,1.0,,0.5,
,1.0,,0.5,
,1.0,,0.5,
,1.0,,0.5,
0.3333333333333333,1.0,,0.5,
0.3333333333333333,1.0,,0.5,
0.3333333333333333,1.0,,0.5,
0.3333333333333333,1.0,0.25,0.5,0.2
0.3333333333333333,1.0,0.25,0.5,0.2
0.3333333333333333,1.0,0.25,0.5,0.2
,1.0,0.3333333333333333,0.5,
,1.0,0.3333333333333333,0.5,
,1.0,0.3333333333333333,0.5,
,1.0,0.3333333333333333,0.5,
,1.0,0.3333333333333333,0.5,
0.25,1.0,0.3333333333333333,0.5,
,1.0,0.3333333333333333,0.5,0.25
0.2,1.0,0.3333333333333333,0.5,0.25
0.2,1.0,0.3333333333333333,0.5,0.25
,1.0,,0.5,0.3333333333333333
,1.0,,0.5,0.3333333333333333
,1.0,,0.5,0.3333333333333333
,1.0,,0.5,0.3333333333333333
,1.0,,0.5,0.3333333333333333
0.25,1.0,0.2,0.5,0.3333333333333333
,1.0,0.25,0.5,0.3333333333333333
0.2,1.0,0.25,0.5,0.3333333333333333
0.2,1.0,0.25,0.5,0.3333333333333333
0.2,1.0,0.25,0.5,0.3333333333333333
,1.0,,,0.5
,1.0,,,0.5
,1.0,,,0.5
,1.0,,,0.5
,1.0,,,0.5
,1.0,,,0.5
,1.0,,,0.5
,1.0,,,0.5
0.3333333333333333,1.0,,,0.5
0.3333333333333333,1.0,,,0.5
0.3333333333333333,1.0,,,0.5
0.3333333333333333,1.0,0.25,0.2,0.5
0.3333333333333333,1.0,0.25,0.2,0.5
0.3333333333333333,1.0,0.25,0.2,0.5
0.3333333333333333,1.0,0.2,0.25,0.5
0.3333333333333333,1.0,0.2,0.25,0.5
,1.0,0.3333333333333333,,0.5
,1.0,0.3333333333333333,,0.5
,1.0,0.3333333333333333,,0.5
,1.0,0.3333333333333333,,0.5
,1.0,0.3333333333333333,,0.5
,1.0,0.3333333333333333,,0.5
,1.0,0.3333333333333333,,0.5
,1.0,0.3333333333333333,,0.5
,1.0,0.3333333333333333,,0.5
0.25,1.0,0.3333333333333333,0.2,0.5
0.25,1.0,0.3333333333333333,0.2,0.5
0.25,1.0,0.3333333333333333,0.2,0.5
0.25,1.0,0.3333333333333333,0.2,0.5
,1.0,0.3333333333333333,0.25,0.5
,1.0,0.3333333333333333,0.25,0.5
0.2,1.0,0.3333333333333333,0.25,0.5
0.2,1.0,0.3333333333333333,0.25,0.5
0.2,1.0,0.3333333333333333,0.25,0.5
0.2,1.0,0.3333333333333333,0.25,0.5
,1.0,,0.3333333333333333,0.5
,1.0,,0.3333333333333333,0.5
,1.0,,0.3333333333333333,0.5
,1.0,,0.3333333333333333,0.5
,1.0,,0.3333333333333333,0.5
,1.0,,0.3333333333333333,0.5
,1.0,,0.3333333333333333,0.5
,1.0,0.25,0.3333333333333333,0.5
0.2,1.0,0.25,0.3333333333333333,0.5
0.2,1.0,0.25,0.3333333333333333,0.5
0.2,1.0,0.25,0.3333333333333333,0.5
0.2,1.0,0.25,0.3333333333333333,0.5
0.2,1.0,0.25,0.3333333333333333,0.5
0.2,1.0,0.25,0.3333333333333333,0.5
0.2,1.0,0.25,0.3333333333333333,0.5
,,1.0,,
,,1.0,,
,,1.0,,
,,1.0,,
,,1.0,,
,,1.0,,
,,1.0,,
,,1.0,,
,,1.0,,
,,1.0,,
,,1.0,,
,,1.0,,
,,1.0,,
,,1.0,,
,,1.0,,
0.5,,1.0,,
0.5,0.3333333333333333,1.0,,
0.5,0.3333333333333333,1.0,,
0.5,0.3333333333333333,1.0,,
0.5,0.3333333333333333,1.0,,
0.5,0.3333333333333333,1.0,,
0.5,0.3333333333333333,1.0,,
0.5,0.3333333333333333,1.0,0.25,0.2
0.5,0.3333333333333333,1.0,0.25,0.2
0.5,0.3333333333333333,1.0,0.25,0.2
0.5,0.3333333333333333,1.0,0.25,0.2
0.5,0.3333333333333333,1.0,0.2,0.25
0.5,0.3333333333333333,1.0,0.2,0.25
0.5,,1.0,0.3333333333333333,
0.5,,1.0,0.3333333333333333,
0.5,,1.0,0.3333333333333333,
0.5,0.25,1.0,0.3333333333333333,0.2
0.5,0.25,1.0,0.3333333333333333,0.2
0.5,,1.0,,0.3333333333333333
0.5,0.2,1.0,0.25,0.3333333333333333
,0.5,1.0,,
,0.5,1.0,,
,0.5,1.0,,
,0.5,1.0,,
,0.5,1.0,,
0.3333333333333333,0.5,1.0,,
0.3333333333333333,0.5,1.0,,
0.3333333333333333,0.5,1.0,,
0.3333333333333333,0.5,1.0,,
0.3333333333333333,0.5,1.0,,
0.3333333333333333,0.5,1.0,0.25,0.2
0.3333333333333333,0.5,1.0,0.25,0.2
0.3333333333333333,0.5,1.0,0.25,0.2
0.3333333333333333,0.5,1.0,0.2,0.25
0.3333333333333333,0.5,1.0,0.2,0.25
0.3333333333333333,0.5,1.0,0.2,0.25
,0.5,1.0,0.3333333333333333,
,0.5,1.0,0.3333333333333333,
,0.5,1.0,0.3333333333333333,
,0.5,1.0,0.3333333333333333,
,0.5,1.0,0.3333333333333333,
,0.5,1.0,0.3333333333333333,
0.25,0.5,1.0,0.3333333333333333,
0.25,0.5,1.0,0.3333333333333333,0.2
0.25,0.5,1.0,0.3333333333333333,0.2
0.25,0.5,1.0,0.3333333333333333,0.2
0.2,0.5,1.0,0.3333333333333333,0.25
0.2,0.5,1.0,0.3333333333333333,0.25
,0.5,1.0,,0.3333333333333333
,0.5,1.0,,0.3333333333333333
,0.5,1.0,,0.3333333333333333
,0.5,1.0,,0.3333333333333333
0.25,0.5,1.0,0.2,0.3333333333333333
0.25,0.5,1.0,0.2,0.3333333333333333
0.25,0.5,1.0,0.2,0.3333333333333333
0.25,0.5,1.0,0.2,0.3333333333333333
0.2,0.5,1.0,0.25,0.3333333333333333
0.2,0.5,1.0,0.25,0.3333333333333333
0.2,0.5,1.0,0.25,0.3333333333333333
0.2,0.5,1.0,0.25,0.3333333333333333
,,1.0,0.5,
,,1.0,0.5,
0.3333333333333333,,1.0,0.5,
0.3333333333333333,,1.0,0.5,
0.3333333333333333,,1.0,0.5,
0.3333333333333333,,1.0,0.5,
0.3333333333333333,0.25,1.0,0.5,0.2
0.3333333333333333,0.25,1.0,0.5,0.2
0.3333333333333333,0.2,1.0,0.5,0.25
0.3333333333333333,0.2,1.0,0.5,0.25
0.3333333333333333,0.2,1.0,0.5,0.25
,0.3333333333333333,1.0,0.5,
,0.3333333333333333,1.0,0.5,
,0.3333333333333333,1.0,0.5,
,0.3333333333333333,1.0,0.5,
,0.3333333333333333,1.0,0.5,
,0.3333333333333333,1.0,0.5,
,0.3333333333333333,1.0,0.5,
,0.3333333333333333,1.0,0.5,
,0.3333333333333333,1.0,0.5,
,0.3333333333333333,1.0,0.5,
,0.3333333333333333,1.0,0.5,0.25
0.2,0.3333333333333333,1.0,0.5,0.25
0.2,0.3333333333333333,1.0,0.5,0.25
0.2,0.3333333333333333,1.0,0.5,0.25
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
,,1.0,0.5,0.3333333333333333
0.25,0.2,1.0,0.5,0.3333333333333333
0.25,0.2,1.0,0.5,0.3333333333333333
0.25,0.2,1.0,0.5,0.3333333333333333
0.25,0.2,1.0,0.5,0.3333333333333333
0.25,0.2,1.0,0.5,0.3333333333333333
0.25,0.2,1.0,0.5,0.3333333333333333
,0.25,1.0,0.5,0.3333333333333333
,0.25,1.0,0.5,0.3333333333333333
,0.25,1.0,0.5,0.3333333333333333
,0.25,1.0,0.5,0.3333333333333333
0.2,0.25,1.0,0.5,0.3333333333333333
0.2,0.25,1.0,0.5,0.3333333333333333
0.2,0.25,1.0,0.5,0.3333333333333333
0.2,0.25,1.0,0.5,0.3333333333333333
0.2,0.25,1.0,0.5,0.3333333333333333
0.2,0.25,1.0,0.5,0.3333333333333333
0.2,0.25,1.0,0.5,0.3333333333333333
0.2,0.25,1.0,0.5,0.3333333333333333
0.2,0.25,1.0,0.5,0.3333333333333333
0.2,0.25,1.0,0.5,0.3333333333333333
0.2,0.25,1.0,0.5,0.3333333333333333
0.2,0.25,1.0,0.5,0.3333333333333333
,,1.0,,0.5
,,1.0,,0.5
,,1.0,,0.5
,,1.0,,0.5
,,1.0,,0.5
,,1.0,,0.5
,,1.0,,0.5
,,1.0,,0.5
,,1.0,,0.5
,,1.0,,0.5
,,1.0,,0.5
,,1.0,,0.5
,,1.0,,0.5
,,1.0,,0.5
,,1.0,,0.5
,,1.0,,0.5
,,1.0,,0.5
0.3333333333333333,,1.0,,0.5
0.3333333333333333,,1.0,,0.5
0.3333333333333333,,1.0,,0.5
0.3333333333333333,,1.0,,0.5
0.3333333333333333,,1.0,,0.5
0.3333333333333333,,1.0,,0.5
0.3333333333333333,,1.0,,0.5
0.3333333333333333,,1.0,,0.5
0.3333333333333333,,1.0,,0.5
0.3333333333333333,0.25,1.0,0.2,0.5
0.3333333333333333,0.2,1.0,0.25,0.5
0.3333333333333333,0.2,1.0,0.25,0.5
,0.3333333333333333,1.0,,0.5
,0.3333333333333333,1.0,,0.5
,0.3333333333333333,1.0,,0.5
,0.3333333333333333,1.0,,0.5
,0.3333333333333333,1.0,,0.5
,0.3333333333333333,1.0,,0.5
,0.3333333333333333,1.0,,0.5
,0.3333333333333333,1.0,,0.5
,0.3333333333333333,1.0,,0.5
,0.3333333333333333,1.0,,0.5
,0.3333333333333333,1.0,,0.5
,0.3333333333333333,1.0,,0.5
,0.3333333333333333,1.0,,0.5
,0.3333333333333333,1.0,,0.5
,0.3333333333333333,1.0,,0.5
,0.3333333333333333,1.0,,0.5
,0.3333333333333333,1.0,,0.5
0.25,0.3333333333333333,1.0,0.2,0.5
0.25,0.3333333333333333,1.0,0.2,0.5
0.25,0.3333333333333333,1.0,0.2,0.5
0.25,0.3333333333333333,1.0,0.2,0.5
0.25,0.3333333333333333,1.0,0.2,0.5
,0.3333333333333333,1.0,0.25,0.5
,0.3333333333333333,1.0,0.25,0.5
0.2,0.3333333333333333,1.0,0.25,0.5
0.2,0.3333333333333333,1.0,0.25,0.5
0.2,0.3333333333333333,1.0,0.25,0.5
0.2,0.3333333333333333,1.0,0.25,0.5
0.2,0.3333333333333333,1.0,0.25,0.5
0.2,0.3333333333333333,1.0,0.25,0.5
0.2,0.3333333333333333,1.0,0.25,0.5
0.2,0.3333333333333333,1.0,0.25,0.5
0.2,0.3333333333333333,1.0,0.25,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
,,1.0,0.3333333333333333,0.5
0.25,,1.0,0.3333333333333333,0.5
0.25,,1.0,0.3333333333333333,0.5
0.25,,1.0,0.3333333333333333,0.5
0.25,0.2,1.0,0.3333333333333333,0.5
0.25,0.2,1.0,0.3333333333333333,0.5
0.25,0.2,1.0,0.3333333333333333,0.5
0.25,0.2,1.0,0.3333333333333333,0.5
0.25,0.2,1.0,0.3333333333333333,0.5
0.25,0.2,1.0,0.3333333333333333,0.5
0.25,0.2,1.0,0.3333333333333333,0.5
0.25,0.2,1.0,0.3333333333333333,0.5
0.25,0.2,1.0,0.3333333333333333,0.5
0.25,0.2,1.0,0.3333333333333333,0.5
0.25,0.2,1.0,0.3333333333333333,0.5
0.25,0.2,1.0,0.3333333333333333,0.5
0.25,0.2,1.0,0.3333333333333333,0.5
0.25,0.2,1.0,0.3333333333333333,0.5
,0.25,1.0,0.3333333333333333,0.5
,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
0.2,0.25,1.0,0.3333333333333333,0.5
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
0.5,,,1.0,
0.5,,,1.0,
0.5,0.3333333333333333,,1.0,
0.5,0.3333333333333333,,1.0,
0.5,0.3333333333333333,,1.0,
0.5,0.3333333333333333,0.25,1.0,0.2
0.5,0.3333333333333333,0.25,1.0,0.2
0.5,0.3333333333333333,0.2,1.0,0.25
0.5,0.3333333333333333,0.2,1.0,0.25
0.5,0.25,0.3333333333333333,1.0,0.2
0.5,0.2,0.3333333333333333,1.0,0.25
0.5,0.2,0.3333333333333333,1.0,0.25
0.5,,,1.0,0.3333333333333333
0.5,0.25,0.2,1.0,0.3333333333333333
,0.5,,1.0,
,0.5,,1.0,
,0.5,,1.0,
,0.5,,1.0,
,0.5,,1.0,
,0.5,,1.0,
,0.5,,1.0,
,0.5,,1.0,
,0.5,,1.0,
,0.5,,1.0,
,0.5,,1.0,
,0.5,,1.0,
,0.5,,1.0,
,0.5,,1.0,
,0.5,,1.0,
,0.5,,1.0,
,0.5,,1.0,
0.3333333333333333,0.5,,1.0,
0.3333333333333333,0.5,,1.0,
0.3333333333333333,0.5,,1.0,
0.3333333333333333,0.5,,1.0,
0.3333333333333333,0.5,,1.0,
0.3333333333333333,0.5,,1.0,
0.3333333333333333,0.5,,1.0,
0.3333333333333333,0.5,,1.0,
0.3333333333333333,0.5,,1.0,
0.3333333333333333,0.5,,1.0,
0.3333333333333333,0.5,0.25,1.0,0.2
0.3333333333333333,0.5,0.25,1.0,0.2
0.3333333333333333,0.5,0.2,1.0,0.25
,0.5,0.3333333333333333,1.0,
,0.5,0.3333333333333333,1.0,
,0.5,0.3333333333333333,1.0,
,0.5,0.3333333333333333,1.0,
,0.5,0.3333333333333333,1.0,
,0.5,0.3333333333333333,1.0,
,0.5,0.3333333333333333,1.0,
,0.5,0.3333333333333333,1.0,
,0.5,0.3333333333333333,1.0,
,0.5,0.3333333333333333,1.0,
,0.5,0.3333333333333333,1.0,
,0.5,0.3333333333333333,1.0,
,0.5,0.3333333333333333,1.0,
0.25,0.5,0.3333333333333333,1.0,0.2
0.25,0.5,0.3333333333333333,1.0,0.2
0.25,0.5,0.3333333333333333,1.0,0.2
,0.5,0.3333333333333333,1.0,0.25
0.2,0.5,0.3333333333333333,1.0,0.25
0.2,0.5,0.3333333333333333,1.0,0.25
0.2,0.5,0.3333333333333333,1.0,0.25
,0.5,,1.0,0.3333333333333333
,0.5,,1.0,0.3333333333333333
,0.5,,1.0,0.3333333333333333
,0.5,,1.0,0.3333333333333333
,0.5,,1.0,0.3333333333333333
,0.5,,1.0,0.3333333333333333
,0.5,,1.0,0.3333333333333333
,0.5,,1.0,0.3333333333333333
,0.5,,1.0,0.3333333333333333
,0.5,,1.0,0.3333333333333333
,0.5,,1.0,0.3333333333333333
,0.5,,1.0,0.3333333333333333
,0.5,,1.0,0.3333333333333333
,0.5,,1.0,0.3333333333333333
,0.5,,1.0,0.3333333333333333
,0.5,,1.0,0.3333333333333333
,0.5,0.25,1.0,0.3333333333333333
,0.5,0.25,1.0,0.3333333333333333
,0.5,0.25,1.0,0.3333333333333333
0.2,0.5,0.25,1.0,0.3333333333333333
0.2,0.5,0.25,1.0,0.3333333333333333
0.2,0.5,0.25,1.0,0.3333333333333333
0.2,0.5,0.25,1.0,0.3333333333333333
0.2,0.5,0.25,1.0,0.3333333333333333
,,0.5,1.0,
,,0.5,1.0,
,,0.5,1.0,
,,0.5,1.0,
,,0.5,1.0,
,,0.5,1.0,
,,0.5,1.0,
,,0.5,1.0,
,,0.5,1.0,
,,0.5,1.0,
,,0.5,1.0,
,,0.5,1.0,
,,0.5,1.0,
,,0.5,1.0,
,,0.5,1.0,
,,0.5,1.0,
,,0.5,1.0,
,,0.5,1.0,
0.3333333333333333,,0.5,1.0,
0.3333333333333333,,0.5,1.0,
0.3333333333333333,,0.5,1.0,
0.3333333333333333,,0.5,1.0,
0.3333333333333333,,0.5,1.0,
0.3333333333333333,,0.5,1.0,
0.3333333333333333,,0.5,1.0,
