Raymond Dehn,Nekima Levy-Pounds,Jacob Frey,Betsy Hodges,Tom Hoch,Aswar Rahman,UWI,Ronald Lischeid,David Rosenfeld,Al Flowers,Captain Jack Sparrow,Gregg A. Iverson,Charlie Gers,Troy Benjegerdes,L.A. Nik,Ian Simpson,David John Wilson
,0.3333333333333333,0.5,,1.0,,,,,,,,,,,,
,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,
0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,
,,0.5,,1.0,,,,,,,,,,,,
0.3333333333333333,,0.5,,1.0,,,,,,,,,,,,
0.3333333333333333,0.5,,1.0,,,,,,,,,,,,,
,,0.5,0.3333333333333333,1.0,,,,,,,,,,,,
,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,
,0.3333333333333333,,0.5,,1.0,,,,,,,,,,,
,,1.0,0.5,0.3333333333333333,,,,,,,,,,,,
,,,1.0,0.5,,,,,,,,,,,,
,,0.5,1.0,,,,,,,,,,,,,
1.0,,,0.5,,,,,,,,,,,,,
,0.5,1.0,,,,,,,0.3333333333333333,,,,,,,
1.0,0.5,,0.3333333333333333,,,,,,,,,,,,,
,,,1.0,0.3333333333333333,,,,,,,,,,,,
0.3333333333333333,0.5,,1.0,,,,,,,,,,,,,
,0.5,,1.0,,,,,,,0.3333333333333333,,,,,,
,,1.0,0.5,0.3333333333333333,,,,,,,,,,,,
1.0,0.5,,0.3333333333333333,,,,,,,,,,,,,
,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,
,,1.0,,0.5,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,
,,0.5,0.3333333333333333,1.0,,,,,,,,,,,,
,,0.5,0.3333333333333333,1.0,,,,,,,,,,,,
,,1.0,0.5,,,,,,,,,,,,,
,0.5,,1.0,0.3333333333333333,,,,,,,,,,,,
,1.0,,0.3333333333333333,,,,,0.5,,,,,,,,
,0.3333333333333333,,1.0,0.5,,,,,,,,,,,,
,,0.5,,1.0,,,,,,,,0.3333333333333333,,,,
0.5,0.3333333333333333,,1.0,,,,,,,,,,,,,
,,1.0,,,,,,,,,,,,,,
,,0.5,,1.0,,,,,,,,,,,,
,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,
1.0,,0.3333333333333333,0.5,,,,,,,,,,,,,
,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,
,,0.5,1.0,0.3333333333333333,,,,,,,,,,,,
,0.5,1.0,,0.3333333333333333,,,,,,,,,,,,
,,,,,,,,,,,,,,1.0,,
,0.5,1.0,,,,,,,,,,,,,,
,1.0,0.5,,,,,,,,,,,,,,
0.5,,1.0,,0.3333333333333333,,,,,,,,,,,,
,1.0,,,,,,,,,,,,,,,
0.5,,,0.3333333333333333,1.0,,,,,,,,,,,,
,,1.0,0.5,0.3333333333333333,,,,,,,,,,,,
0.5,,,1.0,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,
,,,1.0,0.5,,,,,,,,,,,,
,1.0,0.5,,,,,,,,,0.3333333333333333,,,,,
,,,,,,,1.0,,,,,,,,,
0.3333333333333333,0.5,,1.0,,,,,,,,,,,,,
,0.5,,,1.0,,,,,,,,,,,,
,,,0.5,,,,,,,,,1.0,,,,
1.0,0.5,,,0.3333333333333333,,,,,,,,,,,,
,,0.5,,1.0,,,,,,,,,,,,
0.5,,,,1.0,,,,,,0.3333333333333333,,,,,,
1.0,0.5,,0.3333333333333333,,,,,,,,,,,,,
,,,1.0,,0.5,,,,,,,,,,,0.3333333333333333
,,,1.0,0.5,,,,,,,,,,,,
,0.3333333333333333,1.0,,,,,,,,,0.5,,,,,
,0.5,1.0,,,,,,,,,,,,,,
0.3333333333333333,,1.0,,0.5,,,,,,,,,,,,
,0.5,1.0,,0.3333333333333333,,,,,,,,,,,,
,0.5,,1.0,0.3333333333333333,,,,,,,,,,,,
,,1.0,,0.5,,,,,,,,,,,,
,0.5,1.0,0.3333333333333333,,,,,,,,,,,,,
,,,1.0,0.5,0.3333333333333333,,,,,,,,,,,
,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,
,0.3333333333333333,1.0,,0.5,,,,,,,,,,,,
0.5,,1.0,,0.3333333333333333,,,,,,,,,,,,
,0.5,1.0,,,,,,,,,,,,,,
,,1.0,,0.5,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,
,0.5,1.0,,0.3333333333333333,,,,,,,,,,,,
,,1.0,0.5,0.3333333333333333,,,,,,,,,,,,
,,1.0,,,,,,,,,,,,,,
,1.0,,,0.5,,,,,,0.3333333333333333,,,,,,
,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,
,,,1.0,0.3333333333333333,0.5,,,,,,,,,,,
,,1.0,,,,,,,,,,,,,,
,1.0,0.5,,,,,,,,,,,,,,
,,,0.3333333333333333,1.0,,,,0.5,,,,,,,,
,,,,1.0,,,,,,0.5,,,,,,
,,0.5,,1.0,,,,,,,,,,,,
,0.5,,1.0,,,,,,0.3333333333333333,,,,,,,
1.0,,0.3333333333333333,0.5,,,,,,,,,,,,,
,,1.0,,,,,,,,0.3333333333333333,,0.5,,,,
,,0.5,1.0,,,,,,,,,,,,,
0.3333333333333333,1.0,,,0.5,,,,,,,,,,,,
,,,0.3333333333333333,1.0,,,,,,,,0.5,,,,
,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,
,,,,1.0,,,,,,,,,,,,
,,1.0,0.5,0.3333333333333333,,,,,,,,,,,,
,1.0,0.5,,0.3333333333333333,,,,,,,,,,,,
,1.0,0.5,,0.3333333333333333,,,,,,,,,,,,
,,,,1.0,,0.5,,,,,,,,,,
1.0,,,0.5,,,,,,,,,,,,,
0.5,,1.0,0.3333333333333333,,,,,,,,,,,,,
,0.5,,0.3333333333333333,1.0,,,,,,,,,,,,
0.3333333333333333,,1.0,,0.5,,,,,,,,,,,,
,,,,,,,,,,,,1.0,,,0.5,
,,1.0,,0.5,,,,,,,,,,,,
,0.3333333333333333,1.0,0.5,,,,,,,,,,,,,
,,,1.0,,,,,,,0.5,,,,,,
,,,1.0,0.5,,,,,,,,,,,,
1.0,0.3333333333333333,,0.5,,,,,,,,,,,,,
0.5,0.3333333333333333,1.0,,,,,,,,,,,,,,
0.5,0.3333333333333333,,1.0,,,,,,,,,,,,,
1.0,,,0.3333333333333333,,,,,,,,,,,,,
1.0,0.3333333333333333,,,0.5,,,,,,,,,,,,
,0.5,1.0,,0.3333333333333333,,,,,,,,,,,,
,,0.3333333333333333,1.0,0.5,,,,,,,,,,,,
,0.3333333333333333,1.0,,0.5,,,,,,,,,,,,
,,0.5,,1.0,,,,,,,,,,,,
,1.0,,0.5,0.3333333333333333,,,,,,,,,,,,
0.5,,1.0,0.3333333333333333,,,,,,,,,,,,,
0.5,1.0,,0.3333333333333333,,,,,,,,,,,,,
,0.5,1.0,0.3333333333333333,,,,,,,,,,,,,
,,1.0,,0.5,,,,,,,,,,,,
,,1.0,0.5,0.3333333333333333,,,,,,,,,,,,
,,1.0,0.5,0.3333333333333333,,,,,,,,,,,,
,,,,1.0,,,,,,,,,,,,
0.5,,,1.0,0.3333333333333333,,,,,,,,,,,,
0.5,1.0,,,,,,,,,,,,,,,
,,,1.0,0.5,,,,,,,,,,,,
,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,
,,,1.0,0.5,0.3333333333333333,,,,,,,,,,,
,0.5,0.3333333333333333,1.0,,,,,,,,,,,,,
,0.3333333333333333,1.0,,0.5,,,,,,,,,,,,
0.3333333333333333,,0.5,,1.0,,,,,,,,,,,,
,1.0,,0.5,,,,,,,,,,,,,
,,,,1.0,,,,,,,,,,,,
,,1.0,,,,,,,,,,,,,,
1.0,0.5,,,,,,,,,0.3333333333333333,,,,,,
,0.3333333333333333,0.5,,1.0,,,,,,,,,,,,
0.3333333333333333,1.0,,0.5,,,,,,,,,,,,,
0.5,0.3333333333333333,,1.0,,,,,,,,,,,,,
,,1.0,,0.5,,,,,,,,,0.3333333333333333,,,
,,,,,,,0.3333333333333333,,,1.0,,,,0.5,,
,,1.0,0.3333333333333333,,,,,0.5,,,,,,,,
0.5,,1.0,,,,,,,0.3333333333333333,,,,,,,
,,0.3333333333333333,1.0,0.5,,,,,,,,,,,,
,,,,1.0,,,,,,,,,,,,
,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,
0.3333333333333333,0.5,,1.0,,,,,,,,,,,,,
,,,,,,,,,,,,1.0,,,,
,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,
1.0,,0.5,,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,
,,0.5,,1.0,,,,,,,,,,,,0.3333333333333333
0.5,1.0,,,,,,,,,,,,,,,
,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,
,0.5,0.3333333333333333,1.0,,,,,,,,,,,,,
0.3333333333333333,,1.0,,0.5,,,,,,,,,,,,
0.3333333333333333,,1.0,,0.5,,,,,,,,,,,,
1.0,,,0.3333333333333333,0.5,,,,,,,,,,,,
,,,1.0,,,,,,,0.5,,0.3333333333333333,,,,
0.5,0.3333333333333333,,1.0,,,,,,,,,,,,,
,,0.5,,1.0,,,,,,,,,,,,
,,1.0,,,,,,,,,,,,,,
,,1.0,0.5,0.3333333333333333,,,,,,,,,,,,
1.0,,,,,,,,,0.5,0.3333333333333333,,,,,,
1.0,0.5,0.3333333333333333,,,,,,,,,,,,,,
0.3333333333333333,,,,1.0,,,,,,,,0.5,,,,
0.3333333333333333,,1.0,,0.5,,,,,,,,,,,,
0.3333333333333333,,0.5,1.0,,,,,,,,,,,,,
,,,,1.0,,,,,,,,,,,,
0.3333333333333333,,1.0,,0.5,,,,,,,,,,,,
,,0.5,,1.0,,,,,,,,,,,,
,,1.0,,,,,,,,,,,,,,
,0.3333333333333333,0.5,,1.0,,,,,,,,,,,,
,,1.0,,,,,,,,,,,,,,
,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,
,,1.0,,,,,,,,,,,,,,
1.0,,,0.3333333333333333,0.5,,,,,,,,,,,,
0.3333333333333333,1.0,,0.5,,,,,,,,,,,,,
,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,
,,1.0,0.5,,,,,,,,,,,,,
,,,1.0,,,,,,,,,0.5,,,,0.3333333333333333
,,1.0,0.5,,,,,,,,,,,,,
0.5,0.3333333333333333,,,1.0,,,,,,,,,,,,
,,0.5,1.0,0.3333333333333333,,,,,,,,,,,,
,,,1.0,0.5,,,,,,,,,,,,
,1.0,0.5,,,,,,,,,,,,,,
0.5,0.3333333333333333,,1.0,,,,,,,,,,,,,
1.0,0.3333333333333333,,,0.5,,,,,,,,,,,,
,,1.0,0.5,0.3333333333333333,,,,,,,,,,,,
,,0.3333333333333333,0.5,1.0,,,,,,,,,,,,
0.5,,,1.0,,,,,,,,,,,,,
1.0,,,0.5,,,,,0.3333333333333333,,,,,,,,
,,,,1.0,,,,,,,,,,,,
,0.3333333333333333,1.0,0.5,,,,,,,,,,,,,
,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,
,0.3333333333333333,,1.0,0.5,,,,,,,,,,,,
,,1.0,,,,,,,,,,,,,,
1.0,,0.5,,,,,,,,,,,,,,
0.3333333333333333,0.5,,1.0,,,,,,,,,,,,,
,,1.0,,,,,,,,0.5,,,,0.3333333333333333,,
,0.5,,0.3333333333333333,1.0,,,,,,,,,,,,
,1.0,0.5,,0.3333333333333333,,,,,,,,,,,,
1.0,,,0.3333333333333333,0.5,,,,,,,,,,,,
,1.0,,0.3333333333333333,,,,,0.5,,,,,,,,
,,1.0,,0.5,,,,,,,,,,,,
0.5,1.0,,0.3333333333333333,,,,,,,,,,,,,
,,,,1.0,,,,,,,,,,,,
1.0,,0.3333333333333333,,0.5,,,,,,,,,,,,
,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,
,,0.5,1.0,0.3333333333333333,,,,,,,,,,,,
,,0.5,,1.0,,,,,0.3333333333333333,,,,,,,
,,,1.0,,,,,,,,,,,,,
,,1.0,0.5,0.3333333333333333,,,,,,,,,,,,
0.5,,1.0,0.3333333333333333,,,,,,,,,,,,,
,,,1.0,0.5,,,,,,,,,,,,
,,1.0,0.5,0.3333333333333333,,,,,,,,,,,,
0.5,,1.0,,0.3333333333333333,,,,,,,,,,,,
0.5,0.3333333333333333,,,1.0,,,,,,,,,,,,
,0.3333333333333333,,1.0,0.5,,,,,,,,,,,,
0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,
,,0.5,0.3333333333333333,1.0,,,,,,,,,,,,
,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,
0.5,0.3333333333333333,,,1.0,,,,,,,,,,,,
,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,
,1.0,0.3333333333333333,,0.5,,,,,,,,,,,,
,,0.3333333333333333,1.0,0.5,,,,,,,,,,,,
0.3333333333333333,,0.5,1.0,,,,,,,,,,,,,
,,,0.5,1.0,,,,,0.3333333333333333,,,,,,,
,,0.5,1.0,0.3333333333333333,,,,,,,,,,,,
,,1.0,,0.3333333333333333,,,,,,,,,,0.5,,
,,1.0,,,,,,,,,,,,,,
,,,,0.5,,,1.0,,,,0.3333333333333333,,,,,
0.5,1.0,0.3333333333333333,,,,,,,,,,,,,,
1.0,,0.5,0.3333333333333333,,,,,,,,,,,,,
,,1.0,,,,,,,,,,0.5,,,,
0.5,,1.0,,,,,,,,,0.3333333333333333,,,,,
,0.5,1.0,,0.3333333333333333,,,,,,,,,,,,
0.3333333333333333,0.5,,1.0,,,,,,,,,,,,,
0.5,,0.3333333333333333,,1.0,,,,,,,,,,,,
,,,0.3333333333333333,1.0,,,,,,,,,,,,
,,0.5,1.0,,,,,,,0.3333333333333333,,,,,,
,0.5,1.0,0.3333333333333333,,,,,,,,,,,,,
,0.5,1.0,,0.3333333333333333,,,,,,,,,,,,
,,0.5,1.0,0.3333333333333333,,,,,,,,,,,,
,,,1.0,0.5,,,,,,,,,,,,
0.3333333333333333,,1.0,,0.5,,,,,,,,,,,,
1.0,,0.3333333333333333,0.5,,,,,,,,,,,,,
,0.3333333333333333,1.0,,0.5,,,,,,,,,,,,
,1.0,,0.3333333333333333,0.5,,,,,,,,,,,,
,,1.0,0.5,0.3333333333333333,,,,,,,,,,,,
1.0,0.5,,0.3333333333333333,,,,,,,,,,,,,
,0.3333333333333333,1.0,,0.5,,,,,,,,,,,,
0.3333333333333333,1.0,,0.5,,,,,,,,,,,,,
0.3333333333333333,,1.0,0.5,,,,,,,,,,,,,
,1.0,,,,,,,,,,,,,,,
0.5,0.3333333333333333,,1.0,,,,,,,,,,,,,
,0.5,,0.3333333333333333,1.0,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,
0.3333333333333333,,0.5,,1.0,,,,,,,,,,,,
0.5,0.3333333333333333,,,1.0,,,,,,,,,,,,
,,1.0,,0.5,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,
,,1.0,0.5,,,,,,,,,,,,,
1.0,,,0.5,,,,,,,,,,,,,
,,,,,,,,0.5,,1.0,,0.3333333333333333,,,,
0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,
,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,
,,1.0,,,,,,,,,,,,,,
,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,
,1.0,,,0.3333333333333333,,,,,0.5,,,,,,,
0.3333333333333333,,1.0,,0.5,,,,,,,,,,,,
0.5,1.0,,,0.3333333333333333,,,,,,,,,,,,
0.5,1.0,,,,,,,,0.3333333333333333,,,,,,,
0.3333333333333333,1.0,,0.5,,,,,,,,,,,,,
,1.0,,0.5,,,,,,,,,,,,,
1.0,0.5,,0.3333333333333333,,,,,,,,,,,,,
,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,
,,1.0,,0.5,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,
,0.3333333333333333,1.0,,0.5,,,,,,,,,,,,
0.5,0.3333333333333333,1.0,,,,,,,,,,,,,,
,1.0,,0.5,0.3333333333333333,,,,,,,,,,,,
0.3333333333333333,,1.0,,,,,,,0.5,,,,,,,
,,0.3333333333333333,1.0,0.5,,,,,,,,,,,,
,,1.0,,0.5,,,,,,,,,,,,
0.5,0.3333333333333333,,1.0,,,,,,,,,,,,,
1.0,0.3333333333333333,,,0.5,,,,,,,,,,,,
0.3333333333333333,1.0,0.5,,,,,,,,,,,,,,
,,,,1.0,,,,,,,,,,,,
0.5,1.0,,0.3333333333333333,,,,,,,,,,,,,
1.0,0.5,,,,,,,,,0.3333333333333333,,,,,,
0.5,,1.0,,0.3333333333333333,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,
,0.3333333333333333,1.0,,0.5,,,,,,,,,,,,
,1.0,,,,,,,,,0.5,,,,,0.3333333333333333,
,1.0,,,,,,,,,,,,,,,
,,1.0,,0.5,,,,,,,,,,,,
,,,,1.0,,,,,,,,,,,,
0.5,1.0,0.3333333333333333,,,,,,,,,,,,,,
0.3333333333333333,,0.5,,1.0,,,,,,,,,,,,
,,1.0,,0.5,,,,,,,,,,,,0.3333333333333333
,,,0.5,1.0,,,,,0.3333333333333333,,,,,,,
,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,
,,1.0,,0.5,,,,,,,,,,,,
,,1.0,,,,,,,,,,,,,,
,,1.0,,0.5,,,,,,,,,,,,0.3333333333333333
0.3333333333333333,,0.5,,1.0,,,,,,,,,,,,
,,0.5,1.0,0.3333333333333333,,,,,,,,,,,,
,,,,1.0,,0.5,,,,,,,,,,
0.3333333333333333,0.5,,1.0,,,,,,,,,,,,,
,,,,1.0,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,
,,1.0,0.5,0.3333333333333333,,,,,,,,,,,,
,,0.5,,1.0,,,,,,,0.3333333333333333,,,,,
,0.5,,1.0,,,,,,,,0.3333333333333333,,,,,
,,,,1.0,,,,,,,,,,,,
,1.0,0.5,,0.3333333333333333,,,,,,,,,,,,
,,,,1.0,,,,,,,,,,,,
0.3333333333333333,,0.5,,1.0,,,,,,,,,,,,
0.5,,1.0,,,,,,,0.3333333333333333,,,,,,,
0.5,0.3333333333333333,,1.0,,,,,,,,,,,,,
,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,
0.5,1.0,,,0.3333333333333333,,,,,,,,,,,,
0.5,,0.3333333333333333,,1.0,,,,,,,,,,,,
0.5,0.3333333333333333,1.0,,,,,,,,,,,,,,
,,1.0,0.5,0.3333333333333333,,,,,,,,,,,,
0.5,1.0,,,,,,,0.3333333333333333,,,,,,,,
,,0.3333333333333333,1.0,0.5,,,,,,,,,,,,
1.0,0.3333333333333333,,0.5,,,,,,,,,,,,,
0.5,1.0,,0.3333333333333333,,,,,,,,,,,,,
,,,,0.5,,,,,,,,,,1.0,,
,,0.5,0.3333333333333333,1.0,,,,,,,,,,,,
,,1.0,,,,,,,,,,,,,,
,,,0.5,1.0,,,,,,,,,,,,
,0.3333333333333333,,0.5,1.0,,,,,,,,,,,,
0.5,1.0,,0.3333333333333333,,,,,,,,,,,,,
,,0.5,1.0,0.3333333333333333,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,
,1.0,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,
0.5,,1.0,,0.3333333333333333,,,,,,,,,,,,
,,0.5,1.0,0.3333333333333333,,,,,,,,,,,,
,,,0.5,1.0,,,,,,,,,,,,
,,,0.3333333333333333,0.5,,,,,,,,,,1.0,,
,0.5,0.3333333333333333,1.0,,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,
,0.3333333333333333,0.5,,1.0,,,,,,,,,,,,
,,0.5,0.3333333333333333,1.0,,,,,,,,,,,,
1.0,,0.5,0.3333333333333333,,,,,,,,,,,,,
,0.5,1.0,,0.3333333333333333,,,,,,,,,,,,
,,0.5,,,,,,,,,1.0,,,,0.3333333333333333,
0.3333333333333333,,0.5,1.0,,,,,,,,,,,,,
,0.3333333333333333,1.0,,0.5,,,,,,,,,,,,
,,0.5,1.0,0.3333333333333333,,,,,,,,,,,,
,,1.0,,,,,,,,,,,,,,
,0.3333333333333333,,1.0,0.5,,,,,,,,,,,,
0.5,1.0,,,0.3333333333333333,,,,,,,,,,,,
,0.3333333333333333,1.0,,0.5,,,,,,,,,,,,
,0.5,1.0,,0.3333333333333333,,,,,,,,,,,,
,,1.0,,0.5,,,,,,,,,,,,
0.5,,,,0.3333333333333333,,,,,1.0,,,,,,,
,,1.0,,0.5,,,,,,,,,,,,
,,0.3333333333333333,0.5,1.0,,,,,,,,,,,,
0.5,0.3333333333333333,,,1.0,,,,,,,,,,,,
,,0.5,,1.0,,,,,,,,,,,,
,,0.5,,1.0,,,,,,,,,,,,
0.3333333333333333,1.0,0.5,,,,,,,,,,,,,,
,0.3333333333333333,1.0,,0.5,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,
,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,
,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,
,,,,,,1.0,,,,,,,,,,
0.5,,1.0,0.3333333333333333,,,,,,,,,,,,,
,0.3333333333333333,,1.0,0.5,,,,,,,,,,,,
1.0,,0.5,,0.3333333333333333,,,,,,,,,,,,
0.5,,,,1.0,,,,,0.3333333333333333,,,,,,,
,,,,,,,,,,1.0,,,,,,
,0.5,1.0,,,,,,,,,,,,,,
1.0,,,0.5,,,,,,0.3333333333333333,,,,,,,
,1.0,0.5,,,,,,,,,,,,,,
,,1.0,,,0.5,,,,,,,,,0.3333333333333333,,
,,,1.0,0.5,,,,,,,,,,,,
0.3333333333333333,0.5,,1.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.0,,
,,0.5,1.0,0.3333333333333333,,,,,,,,,,,,
,1.0,,0.3333333333333333,0.5,,,,,,,,,,,,
,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,
1.0,,0.3333333333333333,,0.5,,,,,,,,,,,,
,,0.5,,1.0,,,,,,,,,,0.3333333333333333,,
0.5,,,,1.0,,,,,,,,0.3333333333333333,,,,
0.5,1.0,,0.3333333333333333,,,,,,,,,,,,,
,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,
,,0.5,1.0,,,,,,,0.3333333333333333,,,,,,
,,,,1.0,,,,,,,0.5,,,,0.3333333333333333,
0.5,,,1.0,,,,,0.3333333333333333,,,,,,,,
,,0.5,,1.0,,,,,0.3333333333333333,,,,,,,
,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,
,1.0,0.5,,0.3333333333333333,,,,,,,,,,,,
0.3333333333333333,,,0.5,1.0,,,,,,,,,,,,
,0.3333333333333333,0.5,,1.0,,,,,,,,,,,,
0.5,,,0.3333333333333333,1.0,,,,,,,,,,,,
0.5,,0.3333333333333333,1.0,,,,,,,,,,,,,
,,,,,,,,,,,,1.0,,,,
0.3333333333333333,,,1.0,0.5,,,,,,,,,,,,
,1.0,0.5,,0.3333333333333333,,,,,,,,,,,,
0.3333333333333333,0.5,,1.0,,,,,,,,,,,,,
,0.3333333333333333,1.0,,0.5,,,,,,,,,,,,
,0.5,1.0,,0.3333333333333333,,,,,,,,,,,,
1.0,0.3333333333333333,,0.5,,,,,,,,,,,,,
0.5,0.3333333333333333,1.0,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,
,,,0.5,,,,,,,0.3333333333333333,,,,1.0,,
,,1.0,,0.5,,,,,,,0.3333333333333333,,,,,
,,1.0,,,,,,,,,,,,,,
0.3333333333333333,0.5,,1.0,,,,,,,,,,,,,
1.0,0.5,0.3333333333333333,,,,,,,,,,,,,,
,,1.0,0.5,,,,,,,,0.3333333333333333,,,,,
,1.0,,,0.5,,,,,,,,,,,,
,,,,1.0,,,,,,,,,,0.3333333333333333,0.5,
,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,
,,1.0,,,,,,,,,,,,,,
,,0.5,0.3333333333333333,1.0,,,,,,,,,,,,
,0.5,1.0,,,,,,,,,,,,,,
,1.0,,,,,,,,0.5,,,,,,,
,0.3333333333333333,1.0,,0.5,,,,,,,,,,,,
1.0,,,0.5,,,,,,,,,,,,,
1.0,,0.5,,0.3333333333333333,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,
1.0,0.3333333333333333,,,,,,,0.5,,,,,,,,
,,1.0,,,,,,,,0.3333333333333333,,,,,,0.5
0.3333333333333333,,0.5,,1.0,,,,,,,,,,,,
,0.5,0.3333333333333333,1.0,,,,,,,,,,,,,
,,,0.5,1.0,,,,,,,,,,,,
,0.3333333333333333,,1.0,0.5,,,,,,,,,,,,
,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,
0.3333333333333333,1.0,0.5,,,,,,,,,,,,,,
,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,
0.5,0.3333333333333333,1.0,,,,,,,,,,,,,,
0.3333333333333333,,0.5,1.0,,,,,,,,,,,,,
,1.0,0.5,0.3333333333333333,,,,,,,,,,,,,
,,0.5,1.0,0.3333333333333333,,,,,,,,,,,,
,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,
,,0.3333333333333333,,1.0,,,,,,,,0.5,,,,
,,0.5,,1.0,,,,,0.3333333333333333,,,,,,,
,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,
,,1.0,,0.5,,,,,,,,,,,,
0.3333333333333333,1.0,,0.5,,,,,,,,,,,,,
,,1.0,0.5,0.3333333333333333,,,,,,,,,,,,
,,,,1.0,,,,,,,,,,,,
,,,,,,,,,,,,1.0,,0.5,,
,0.5,,1.0,0.3333333333333333,,,,,,,,,,,,
0.5,,,1.0,0.3333333333333333,,,,,,,,,,,,
,,,,,,,0.5,,,,1.0,,,0.3333333333333333,,
,,0.5,,1.0,,,,,,,,,,,,
,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,
,,0.3333333333333333,1.0,0.5,,,,,,,,,,,,
0.3333333333333333,,0.5,1.0,,,,,,,,,,,,,
1.0,0.5,,0.3333333333333333,,,,,,,,,,,,,
,1.0,,,0.5,,,0.3333333333333333,,,,,,,,,
,,1.0,,0.5,,,,,,,0.3333333333333333,,,,,
,,1.0,,0.5,,,,,,,0.3333333333333333,,,,,
0.5,,0.3333333333333333,1.0,,,,,,,,,,,,,
0.5,,0.3333333333333333,,1.0,,,,,,,,,,,,
,,1.0,,,,,,,,,,,,,,
,0.5,1.0,0.3333333333333333,,,,,,,,,,,,,
,0.3333333333333333,1.0,0.5,,,,,,,,,,,,,
,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,
,,0.5,,1.0,,,,,,,0.3333333333333333,,,,,
,0.3333333333333333,1.0,0.5,,,,,,,,,,,,,
,,,,,,,,,1.0,,0.3333333333333333,,0.5,,,
0.3333333333333333,,0.5,,1.0,,,,,,,,,,,,
,,0.5,1.0,0.3333333333333333,,,,,,,,,,,,
,,0.5,0.3333333333333333,1.0,,,,,,,,,,,,
,,,1.0,,,,,,,,,,,,,
,1.0,0.5,,,,,,,,,,,,,,
,,0.5,,1.0,,,,,,,,0.3333333333333333,,,,
0.3333333333333333,,0.5,1.0,,,,,,,,,,,,,
0.5,,1.0,,0.3333333333333333,,,,,,,,,,,,
1.0,0.5,,0.3333333333333333,,,,,,,,,,,,,
1.0,0.5,,,0.3333333333333333,,,,,,,,,,,,
,,1.0,0.5,0.3333333333333333,,,,,,,,,,,,
,,0.5,1.0,,,,,,,,,,,,,
,0.3333333333333333,1.0,,0.5,,,,,,,,,,,,
,,1.0,,,,,,,,,,,,,,
,,,,1.0,,,0.3333333333333333,,,0.5,,,,,,
,1.0,,0.5,0.3333333333333333,,,,,,,,,,,,
0.5,,1.0,0.3333333333333333,,,,,,,,,,,,,
,0.5,1.0,,,,,,,,0.3333333333333333,,,,,,
,,0.3333333333333333,1.0,0.5,,,,,,,,,,,,
